Filme,Diretor,Gênero
Um ato de liberdade,Edward Zwick,Guerra
WALL·E,Andrew Stanton,Animação
Antes que o diabo saiba que você está morto,Sidney Lumet,Drama
Borat,Larry Charles,Comédia
Chumbo Grosso,Edgar Wright,Aventura
Como Estrelas na Terra, Aamir Khan,Drama
Desejo e reparação,Joe Wright,Drama
Harry Potter e a Ordem da Fênix,David Yates,Aventura
Juno,Jason Reitman,Animação
Na natureza selvagem,Sean Penn,Aventura
O escafandro e a borboleta,Julian Schnabel,Drama
O gângster,Ridley Scott,Policial
O Ultimato Bourne,Paul Greengrass,Aventura
Onde os Fracos Não Têm Vez,Joel e Ethan Cohen,Drama
Os reis da rua,David Ayer,Policial
Piratas do Caribe: No Fim do Mundo,Gore Verbinski,Aventura
Ratatouille,Brad Bird,Animação
Sentença de morte,James Wan,Policial
Tropa de elite,José Padilha,Policial
Valente,Neil Jordan,Policial
Zodíaco,David Fincher,Policial
007 Cassino Royale,Martin Campbell,Aventura
16 quadras,Richard Donner,Policial
300,Zack Snyder,Aventura
A culpa é do Fidel,Julie Gavras,Drama
A maldição da flor dourada,Zhang Yimou,Drama
A Rainha,Stephen Frears,Drama
A vida dos outros,Florian Henckel von Donnersmarck,Drama
Apocalypto,Mel Gibson,Drama
Babel,Alejandro González-Iñárritu,Drama
Diamante de sangue,Edward Zwick,Drama
Filhos da esperança,Alfonso Cuaron,Aventura
O contrato,Bruce Beresford,Policial
O diabo veste Prada,David Frankel,Comédia
O grande truque,Christopher Nolan,Drama
O labirinto do fauno,Guilherme Del Toro,Drama
O plano perfeito,Spike Lee,Policial
O sacrifício,Neil LaBute,Suspense
O último rei da Escócia,Kevin MacDonald,Drama
Orgulho e preconceito,Joe Wright,Drama
Os infiltrados,Martin Scorsese,Policial
Pequena Miss Sunshine,Jonathan Dayton e Valerie Faris,Comédia
Perfume a história de um assassino,Tom Tykwer,Drama
Pinte de Açafrão,Rakeysh Omprakash Mehra,Drama
Piratas do Caribe: O Baú da Morte,Gore Verbinski,Aventura
V de vingança,James Mac Teigue,Ficção
A fantástica fábrica de chocolate,Tim Burton,Aventura
Assalto à 13a DP,Jean-François Richet,Policial
Batman Begins,Christopher Nolan,Aventura
Crash - No limite,Paul Haggis,Drama
Harry Potter e o Cálice de Fogo,Mike Newell,Aventura
Meu Pai e Meu Filho,Çagan Irmak,Drama
Munique,Steven Spielberg,Drama
O albergue,Eli Roth,Terror
O jardineiro fiel,Fernando Meirelles,Drama
O segredo de Broke Back Mountain,Ang Lee,Drama
Os produtores,Susan Stroman,Comédia
Sin city,Robert Rodiguez,Policial
Sodado anônimo,Sam Mendes,Guerra
Terra dos mortos,George Romero,Terror
A paixão de Cristo,Mel Gibson,Drama
A Queda! As Últimas Horas de Hitler,Oliver Hirschbiegel,Guerra
Antes do pôr do sol,Richard Linklater,Drama
Brilho Eterno de uma Mente Sem Lembrança,Michael Gondry,Drama
Closer - perto demais,Mike Nichols,Drama
Colateral,Michael Mann,Policial
Diários de motocicleta,Walter Salles,Drama
Harry Potter e o Prisioneiro de Azkaban,Alfonso Cuaron,Aventura
Homem aranha 2,Sam Raimi,Aventura
Hotel Ruanda,Terry George,Drama
Jogos mortais,James Wan,Terror
Kill Bill: Volume 2,Quentin Tarantino,Drama
Madrugada dos mortos,Zack Snyder,Terror
Mar adentro,Alejandro Amenábar,Drama
Matadores de velhinha,Joel e Ethan Cohen,Comédia
Menina de ouro,Clint Eastwood,Drama
O aviador,Martin Scorsese,Drama
O Castelo Animado,Hayao Miyazaki,Animação
O clã das adagas voadoras,Zhang Yimou,Drama
O expresso polar,Robert Zemeckis,Animação
Os incríveis,Brad Bird,Animação
Shrek 2,Andrew Adamson,Animação
Sideways - entre umas e outras,Alexander Payne,Drama
Todo mundo quase morto,Edgar Wright,Terror
21 gramas,Alejandro González-Iñárritu,Drama
"Adeus, Lênin",Wolfgang Becker,Comédia
As invasões bárbaras,Denys Arcand,Drama
Coisas belas e sujas,Stephen Frears,Drama
Cold mountain,Anthony Minghella,Drama
Dogville,Lars Von Trier,Drama
Encontros e desencontros,Sophia Coppola,Drama
Johnny English,Peter Howit,Comédia
Kill Bill: Volume 1,Quentin Tarantino,Drama
Memórias de um Assassino,Joon Ho Bong,Policial
Munna Bhai M.B.B.S.,Rajkumar Hirani,Comédia
O Senhor dos Anéis: O Retorno do Rei,Peter Jackson,Aventura
Oldboy,Chan Wook,Policial
Peixe grande e suas histórias maravilhosas,Tim Burton,Drama
Piratas do Caribe: a maldição do pérola negra,Gregor Verbinski,Aventura
Procurando Nemo,Andrew Stanton,Animação
Sobre meninos e lobos,Clint Eastwood,Policial
Todo poderoso,Tom Shadyac,Comédia
A era do gelo,Chris Wedge,Animação
A última noite,Spike Lee,Drama
Adaptação,Spike Jonze,Comédia
As Confissões de Schimidt,Alexander Payne,Comédia
As horas,Stephen Daldry,Drama
Chicago,Rob Marshall,Musical
Cidade de Deus,Fernando Meirelles,Drama
Conflitos Internos,Wai-Keung Lau,Policial
Fale com ela,Pedro Almodóvar,Drama
Harry Potter e a Câmara Secreta,Chris Columbus,Aventura
Herói,Zhang Yimou,Drama
Homem aranha,Sam Raimi,Aventura
Identidade Bourne,Doug Liman,Aventura
Infidelidade,Adrian Lyne,Drama
O Discurso do Rei,Tom Hooper,Drama
O pianista,Roman Polanski,Guerra
O quarto do pânico,David Fincher,Suspense
O Senhor dos Anéis: As Duas Torres,Peter Jackson,Aventura
Por um fio,Joel Schumacher,Policial
Prenda-me Se For Capaz,Steven Spielberg,Policial
Solaris,Steven Soderbergh,Ficção
A caminho de Kandahar,Monsen Makhmalbaf,Drama
A última ceia,Marc Forster,Drama
A Viagem de Chihiro, Hayao Miyazaki,Animação
A.I. inteligencia artificial,Steven Spielberg,Ficção
Abril despedaçado,Walter Salles,Drama
Cidade dos sonhos,David Lynch,Drama
Círculo de fogo,Jean-Jacques Annaud,Guerra
Dia de treinamento,Antoine Fucqua,Policial
Donnie Darko,Richard Kelly,Drama
Harry Potter e a Pedra Filosofal,Chris Columbus,Aventura
Histórias Cruzadas,Tate Taylor,Drama
Monstros S.A.,Pete Docter,Animação
Moulin Rouge,Baz Luhrmann,Musical
O amor é cego,Bobby Farrelly,Comédia
O Fabuloso Destino de Amélie Poulain,Jean-Pierre Jeunet,Comédia
O Senhor dos Anéis: A Sociedade do Anel,Peter Jackson,Aventura
Onze homens e um segredo,Steven Soderbergh,Drama
Os outros,Alejandro Amenábar,Suspense
Shrek, Andrew Adamson,Animação
Uma mente brilhante,Ron Howard,Drama
Amnésia,Christopher Nolan,Drama
Amor à Flor da Pele,Kar-Wai Wong,Drama
Amores brutos,Alejandro González-Iñárritu,Drama
Brother a máfia japonesa Yakusa em Los Angeles,Takeshi Kitano,Policial
"E aí meu irmão, cadê você",Joel e Ethan Cohen,Comédia
Gladiador,Ridley Scott,Aventura
Hera Pheri,Priyadarshan,Musical
Nove rainhas,Ricardo Darin,Drama
O tigre e o dragão,Ang Lee,Drama
Psicopata Americano,Mary Harron,Drama
Réquiem para um sonho,Darren Aronofsky,Drama
Snatch: Porcos e Diamantes,Guy Ritchie,Comédia
Traffic,Steven Soderbergh,Policial
8 mm,Joel Schumacher,Policial
A bruxa de Blair,Daniel Myrick e Eduardo Sánchez,Terror
À espera de um milagre,Frank Darabont,Drama
As virgens suicidas,Sophia Coppola,Drama
Beleza americana,Sam Mendes,Drama
Clube da luta,David Fincher,Drama
Magnólia,Paul Thomas Anderson,Drama
Matrix,Andy Wachowski e Larry Wachowski,Ficção
O informante,Michael Mann,Drama
O sexto sentido,M. Night Shyamalan,Suspense
O talentoso Ripley,Anthony Minghella,Drama
Tempo de glória,Edward Zwick,Guerra
Toy Story 2,John Lasseter,Animação
Três reis,David Russell,Guerra
Tudo sobre minha mâe,Pedro Almodóvar,Comédia
A outra história americana,Tony Kaye,Drama
Além da linha vermelha,Terrence Malick,Guerra
Central do Brasil,Walter Salles,Drama
Cidade das sombras,Alex Proyas,Ficção
"Jogos, trapaças e dois canos fumegantes",Guy Ritchie,Comédia
Ligações perigosas,Stephen Frears,Drama
O grande Lebowski,Joel e Ethan Cohen,Comédia
O resgate do soldado Ryan,Steven Spielberg,Guerra
O show de Truman,Peter Weir,Drama
Pi,Darren Aronofsky,Ficção
Shakespeare Apaixonado,John Madden,Comédia
Um plano simples,Sam Raimi,Policial
Vida de inseto,John Lasseter,Animação
A vida é bela,Roberto Benigni,Comédia
Boogie Nights: Prazer Sem Limites,Paul Thomas Anderson,Drama
Contato,Robert Zemeckis,Ficção
Donnie Brasco,Mike Newell,Drama
Filhos do Paraíso,Majid Majidi,Drama
Força aérea um,Wolfgang Petersen,Suspense
Gattaca experiência genética,Andrew Niccol,Ficção
Gênio Indomável,Gus Van Sant,Drama
Lolita,Adrian Lyne,Drama
Los Angeles: Cidade Proibida,Curtis Hanson,Policial
Melhor é impossível,James Brooks,Comédia
No limite,Lee Tamahon,Drama
O advogado do diabo,Taylor Hackford,Drama
Princesa Mononoke,Hayao Miyazaki,Animação
Titanic,James Cameron,Drama
Vidas em jogo,David Fincher,Suspense
Fargo: Uma Comédia De Erros,Joel e Ethan Cohen,Policial
Missão Impossível,Brian de Palma,Aventura
O Bandido,Yavuz Turgul,Drama
O Paciente Inglês,Anthony Minghella,Drama
Trainspotting - Sem Limites,Danny Boyle,Drama
Antes do amanhecer,Richard Linklater,Drama
As pontes de Madison,Clint Eastwood,Drama
Babe o porquinho atrapalhado,Chris Noonan,Comédia
Cassino,Martin Scorsese,Drama
Coração Valente,Mel Gibson,Drama
Despedida em Las Vegas,Mike Figgis,Drama
Fogo contra fogo,Michael Mann,Policial
O Ódio,Mathieu Kassovitz,Drama
Os 12 Macacos,Terry Gilliam,Ficção
Os suspeitos 1995,Bryan Singer,Policial
Razão e sensibilidade,Ang Lee,Drama
Ricardo III,Richard Loncraine,Drama
Seven: os sete crimes capitais,David Fincher,Policial
Toy Story,John Lasseter,Animação
Underground mentiras de guerra,Emir Kusturica,Drama
Andaz Apna Apna,Rajkumar Santoshi,Comédia
Assassinos por natureza,Oliver Stone,Policial
Cova rasa,Danny Boyle,Suspense
Entrevista com o vampiro,Neil Jordan,Terror
